Country;ISO3 Code;Datetime (UTC);Datetime (Local);Price (EUR/MWhe);Rotterdam_electricity_load [MW];Rotterdam_total_heat_demand [MW];Rotterdam_total_gas_demand [MW]
Netherlands;NLD;01/01/2023 00:00;01/01/2025 01:00;6.24;66.99132824;237.9951257;107.4705432
Netherlands;NLD;01/01/2023 01:00;01/01/2025 02:00;4.16;65.42935426;243.6482559;104.9119177
Netherlands;NLD;01/01/2023 02:00;01/01/2025 03:00;3.28;63.83745742;263.2269856;100.9248882
Netherlands;NLD;01/01/2023 03:00;01/01/2025 04:00;0.68;62.31737546;303.5283335;97.49100239
Netherlands;NLD;01/01/2023 04:00;01/01/2025 05:00;0;62.48494355;406.9590655;101.364114
Netherlands;NLD;01/01/2023 05:00;01/01/2025 06:00;0.76;63.85541114;482.422552;113.8599408
Netherlands;NLD;01/01/2023 06:00;01/01/2025 07:00;0.79;65.22587873;473.7522086;140.3692824
Netherlands;NLD;01/01/2023 07:00;01/01/2025 08:00;1.89;66.79383728;461.9320271;175.2494852
Netherlands;NLD;01/01/2023 08:00;01/01/2025 09:00;7.5;68.60117881;442.7180155;211.0170415
Netherlands;NLD;01/01/2023 09:00;01/01/2025 10:00;27.32;70.83940972;420.7354621;244.0474601
Netherlands;NLD;01/01/2023 10:00;01/01/2025 11:00;37.49;73.35891563;401.8861686;249.8548111
Netherlands;NLD;01/01/2023 11:00;01/01/2025 12:00;60.1;74.76529066;390.0991434;233.6199877
Netherlands;NLD;01/01/2023 12:00;01/01/2025 13:00;63.32;75.46548589;386.882993;224.9904281
Netherlands;NLD;01/01/2023 13:00;01/01/2025 14:00;47;75.32784068;389.2702386;219.2663147
Netherlands;NLD;01/01/2023 14:00;01/01/2025 15:00;50.1;76.05795878;395.4041336;221.541706
Netherlands;NLD;01/01/2023 15:00;01/01/2025 16:00;27.64;78.26028224;410.6228244;229.1035106
Netherlands;NLD;01/01/2023 16:00;01/01/2025 17:00;79.97;84.256826;419.840245;243.0664839
Netherlands;NLD;01/01/2023 17:00;01/01/2025 18:00;95;83.48481588;419.0279184;258.9846353
Netherlands;NLD;01/01/2023 18:00;01/01/2025 19:00;95;81.85701158;414.4192081;244.088624
Netherlands;NLD;01/01/2023 19:00;01/01/2025 20:00;81.49;79.6606727;403.1626819;222.5946385
Netherlands;NLD;01/01/2023 20:00;01/01/2025 21:00;68.96;76.37514123;366.0774843;202.2389505
Netherlands;NLD;01/01/2023 21:00;01/01/2025 22:00;46.37;73.14347094;291.0947626;180.1994355
Netherlands;NLD;01/01/2023 22:00;01/01/2025 23:00;38;68.95426871;240.7968237;159.6127764
Netherlands;NLD;01/01/2023 23:00;02/01/2025 00:00;101.94;66.16545694;184.3152554;131.138613
Netherlands;NLD;02/01/2023 00:00;02/01/2025 01:00;146.95;64.19653189;193.9305503;116.4948055
Netherlands;NLD;02/01/2023 01:00;02/01/2025 02:00;148.44;63.2749074;198.7381977;112.33706
Netherlands;NLD;02/01/2023 02:00;02/01/2025 03:00;138;62.90984835;216.1949313;113.7447772
Netherlands;NLD;02/01/2023 03:00;02/01/2025 04:00;100.1;63.47838294;257.7893706;116.4459015
Netherlands;NLD;02/01/2023 04:00;02/01/2025 05:00;107.47;66.4826394;346.5816451;126.7209376
Netherlands;NLD;02/01/2023 05:00;02/01/2025 06:00;154.68;73.61026776;422.6087868;157.9804847
Netherlands;NLD;02/01/2023 06:00;02/01/2025 07:00;174.7;82.30585468;415.1154881;223.3903564
Netherlands;NLD;02/01/2023 07:00;02/01/2025 08:00;175.07;89.94815646;402.9637448;285.4536529
Netherlands;NLD;02/01/2023 08:00;02/01/2025 09:00;165.37;94.03562092;379.4394286;327.8439011
