# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.924, 4.478 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "51.9244424", "lon": "4.47775", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2023-01-01 00:00,2023-01-01 01:00,0,0,0,11.825
2023-01-01 01:00,2023-01-01 02:00,0,0,0,11.639
2023-01-01 02:00,2023-01-01 03:00,0,0,0,11.402
2023-01-01 03:00,2023-01-01 04:00,0,0,0,11.212
2023-01-01 04:00,2023-01-01 05:00,0,0,0,11.079
2023-01-01 05:00,2023-01-01 06:00,0,0,0,10.909
2023-01-01 06:00,2023-01-01 07:00,0,0,0,10.775
2023-01-01 07:00,2023-01-01 08:00,0,0,0,10.637
2023-01-01 08:00,2023-01-01 09:00,0.006,0.005,0.018,10.592
2023-01-01 09:00,2023-01-01 10:00,0.067,0.030,0.068,10.841
2023-01-01 10:00,2023-01-01 11:00,0.093,0.035,0.092,11.189
2023-01-01 11:00,2023-01-01 12:00,0.114,0.043,0.108,11.541
2023-01-01 12:00,2023-01-01 13:00,0.080,0.023,0.089,11.711
2023-01-01 13:00,2023-01-01 14:00,0.039,0.009,0.056,11.469
2023-01-01 14:00,2023-01-01 15:00,0.010,0.004,0.026,11.102
2023-01-01 15:00,2023-01-01 16:00,0,0,0.002,10.782
2023-01-01 16:00,2023-01-01 17:00,0,0,0,10.341
2023-01-01 17:00,2023-01-01 18:00,0,0,0,9.762
2023-01-01 18:00,2023-01-01 19:00,0,0,0,9.417
2023-01-01 19:00,2023-01-01 20:00,0,0,0,9.345
2023-01-01 20:00,2023-01-01 21:00,0,0,0,9.393
2023-01-01 21:00,2023-01-01 22:00,0,0,0,9.626
2023-01-01 22:00,2023-01-01 23:00,0,0,0,9.918
2023-01-01 23:00,2023-01-02 00:00,0,0,0,10.130
2023-01-02 00:00,2023-01-02 01:00,0,0,0,10.047
2023-01-02 01:00,2023-01-02 02:00,0,0,0,9.974
2023-01-02 02:00,2023-01-02 03:00,0,0,0,9.905
2023-01-02 03:00,2023-01-02 04:00,0,0,0,9.861
2023-01-02 04:00,2023-01-02 05:00,0,0,0,9.654
2023-01-02 05:00,2023-01-02 06:00,0,0,0,9.369
2023-01-02 06:00,2023-01-02 07:00,0,0,0,9.063
2023-01-02 07:00,2023-01-02 08:00,0,0,0,8.756
2023-01-02 08:00,2023-01-02 09:00,0,0.002,0.012,8.603
2023-01-02 09:00,2023-01-02 10:00,0.027,0.006,0.044,8.736
2023-01-02 10:00,2023-01-02 11:00,0.069,0.018,0.080,9.052
2023-01-02 11:00,2023-01-02 12:00,0.101,0.033,0.102,9.419
2023-01-02 12:00,2023-01-02 13:00,0.111,0.042,0.104,9.638
2023-01-02 13:00,2023-01-02 14:00,0.076,0.028,0.079,9.528
2023-01-02 14:00,2023-01-02 15:00,0.017,0.006,0.031,9.053
2023-01-02 15:00,2023-01-02 16:00,0,0.001,0.003,8.332
2023-01-02 16:00,2023-01-02 17:00,0,0,0,7.545
2023-01-02 17:00,2023-01-02 18:00,0,0,0,6.842
2023-01-02 18:00,2023-01-02 19:00,0,0,0,6.466
2023-01-02 19:00,2023-01-02 20:00,0,0,0,5.897
2023-01-02 20:00,2023-01-02 21:00,0,0,0,5.509
2023-01-02 21:00,2023-01-02 22:00,0,0,0,5.163
2023-01-02 22:00,2023-01-02 23:00,0,0,0,4.920
2023-01-02 23:00,2023-01-03 00:00,0,0,0,4.723
2023-01-03 00:00,2023-01-03 01:00,0,0,0,4.572
2023-01-03 01:00,2023-01-03 02:00,0,0,0,4.312
2023-01-03 02:00,2023-01-03 03:00,0,0,0,3.922
2023-01-03 03:00,2023-01-03 04:00,0,0,0,4.040
2023-01-03 04:00,2023-01-03 05:00,0,0,0,4.490
2023-01-03 05:00,2023-01-03 06:00,0,0,0,4.654
2023-01-03 06:00,2023-01-03 07:00,0,0,0,5.139
2023-01-03 07:00,2023-01-03 08:00,0,0,0,5.578
2023-01-03 08:00,2023-01-03 09:00,0,0.001,0.010,5.934
2023-01-03 09:00,2023-01-03 10:00,0.019,0.003,0.036,6.273
2023-01-03 10:00,2023-01-03 11:00,0.035,0.005,0.054,6.634
2023-01-03 11:00,2023-01-03 12:00,0.057,0.010,0.075,7.224
2023-01-03 12:00,2023-01-03 13:00,0.074,0.017,0.087,7.878
2023-01-03 13:00,2023-01-03 14:00,0.047,0.011,0.063,8.154
2023-01-03 14:00,2023-01-03 15:00,0.013,0.004,0.028,7.972
2023-01-03 15:00,2023-01-03 16:00,0,0.001,0.003,7.639
2023-01-03 16:00,2023-01-03 17:00,0,0,0,7.379
2023-01-03 17:00,2023-01-03 18:00,0,0,0,7.212
2023-01-03 18:00,2023-01-03 19:00,0,0,0,7.195
2023-01-03 19:00,2023-01-03 20:00,0,0,0,7.224
2023-01-03 20:00,2023-01-03 21:00,0,0,0,7.295
2023-01-03 21:00,2023-01-03 22:00,0,0,0,7.406
2023-01-03 22:00,2023-01-03 23:00,0,0,0,7.663
2023-01-03 23:00,2023-01-04 00:00,0,0,0,8.089
2023-01-04 00:00,2023-01-04 01:00,0,0,0,8.695
2023-01-04 01:00,2023-01-04 02:00,0,0,0,9.232
2023-01-04 02:00,2023-01-04 03:00,0,0,0,9.546
2023-01-04 03:00,2023-01-04 04:00,0,0,0,9.868
2023-01-04 04:00,2023-01-04 05:00,0,0,0,10.255
2023-01-04 05:00,2023-01-04 06:00,0,0,0,10.624
2023-01-04 06:00,2023-01-04 07:00,0,0,0,10.879
2023-01-04 07:00,2023-01-04 08:00,0,0,0,11.005
2023-01-04 08:00,2023-01-04 09:00,0,0.001,0.011,11.128
2023-01-04 09:00,2023-01-04 10:00,0.009,0.002,0.027,11.282
2023-01-04 10:00,2023-01-04 11:00,0.015,0.002,0.034,11.391
2023-01-04 11:00,2023-01-04 12:00,0.025,0.003,0.046,11.475
2023-01-04 12:00,2023-01-04 13:00,0.035,0.004,0.056,11.572
2023-01-04 13:00,2023-01-04 14:00,0.026,0.004,0.046,11.614
2023-01-04 14:00,2023-01-04 15:00,0.008,0.002,0.024,11.521
2023-01-04 15:00,2023-01-04 16:00,0,0.001,0.004,11.344
2023-01-04 16:00,2023-01-04 17:00,0,0,0,11.066
2023-01-04 17:00,2023-01-04 18:00,0,0,0,10.785
2023-01-04 18:00,2023-01-04 19:00,0,0,0,10.528
2023-01-04 19:00,2023-01-04 20:00,0,0,0,10.405
2023-01-04 20:00,2023-01-04 21:00,0,0,0,10.170
2023-01-04 21:00,2023-01-04 22:00,0,0,0,9.846
2023-01-04 22:00,2023-01-04 23:00,0,0,0,9.598
2023-01-04 23:00,2023-01-05 00:00,0,0,0,9.550
2023-01-05 00:00,2023-01-05 01:00,0,0,0,9.554
2023-01-05 01:00,2023-01-05 02:00,0,0,0,9.516
2023-01-05 02:00,2023-01-05 03:00,0,0,0,9.394
2023-01-05 03:00,2023-01-05 04:00,0,0,0,9.320
2023-01-05 04:00,2023-01-05 05:00,0,0,0,9.289
2023-01-05 05:00,2023-01-05 06:00,0,0,0,9.284
2023-01-05 06:00,2023-01-05 07:00,0,0,0,9.255
2023-01-05 07:00,2023-01-05 08:00,0,0,0,9.247
2023-01-05 08:00,2023-01-05 09:00,0.005,0.004,0.019,9.316
